说明：
本清单用于“历代皇帝传”语料生成。它不是最终校勘版史表，而是一个可逐步扩写、校正、补充的写作队列。
秦始皇以前严格说没有“皇帝”称号，本清单仍按你的设想，把传说人物、三皇五帝、夏商周君主放在前面。
秦以后以主要王朝皇帝为主，同时收入十六国、南北朝、五代十国、辽金西夏元明清等重要政权君主。

序号	时期	政权	人物	建议文件名	备注
102	西汉	汉	后少帝	后少帝.txt	刘弘
103	西汉	汉	汉文帝	汉文帝.txt	刘恒
104	西汉	汉	汉景帝	汉景帝.txt	刘启
105	西汉	汉	汉武帝	汉武帝.txt	刘彻
106	西汉	汉	汉昭帝	汉昭帝.txt	刘弗陵
107	西汉	汉	汉宣帝	汉宣帝.txt	刘询
108	西汉	汉	汉元帝	汉元帝.txt	刘奭
109	西汉	汉	汉成帝	汉成帝.txt	刘骜
110	西汉	汉	汉哀帝	汉哀帝.txt	刘欣
111	西汉	汉	汉平帝	汉平帝.txt	刘衎
112	西汉	汉	孺子婴	孺子婴.txt	西汉末君主
113	新	新	王莽	王莽.txt	新朝皇帝
114	更始政权	更始	更始帝	更始帝.txt	刘玄
115	东汉	汉	汉光武帝	汉光武帝.txt	刘秀
116	东汉	汉	汉明帝	汉明帝.txt	刘庄
117	东汉	汉	汉章帝	汉章帝.txt	刘炟
118	东汉	汉	汉和帝	汉和帝.txt	刘肇
119	东汉	汉	汉殇帝	汉殇帝.txt	刘隆
120	东汉	汉	汉安帝	汉安帝.txt	刘祜
121	东汉	汉	北乡侯	北乡侯.txt	刘懿
122	东汉	汉	汉顺帝	汉顺帝.txt	刘保
123	东汉	汉	汉冲帝	汉冲帝.txt	刘炳
124	东汉	汉	汉质帝	汉质帝.txt	刘缵
125	东汉	汉	汉桓帝	汉桓帝.txt	刘志
126	东汉	汉	汉灵帝	汉灵帝.txt	刘宏
127	东汉	汉	少帝刘辩	少帝刘辩.txt	东汉少帝
128	东汉	汉	汉献帝	汉献帝.txt	刘协
129	三国	魏	魏文帝	魏文帝.txt	曹丕
130	三国	魏	魏明帝	魏明帝.txt	曹叡
131	三国	魏	齐王曹芳	齐王曹芳.txt	曹芳
132	三国	魏	高贵乡公	高贵乡公.txt	曹髦
133	三国	魏	魏元帝	魏元帝.txt	曹奂
134	三国	蜀汉	汉昭烈帝	汉昭烈帝.txt	刘备
135	三国	蜀汉	蜀汉后主	蜀汉后主.txt	刘禅
136	三国	吴	吴大帝	吴大帝.txt	孙权
137	三国	吴	会稽王	会稽王.txt	孙亮
138	三国	吴	吴景帝	吴景帝.txt	孙休
139	三国	吴	吴末帝	吴末帝.txt	孙皓
140	西晋	晋	晋武帝	晋武帝.txt	司马炎
141	西晋	晋	晋惠帝	晋惠帝.txt	司马衷
142	西晋	晋	晋怀帝	晋怀帝.txt	司马炽
143	西晋	晋	晋愍帝	晋愍帝.txt	司马邺
144	东晋	晋	晋元帝	晋元帝.txt	司马睿
145	东晋	晋	晋明帝	晋明帝.txt	司马绍
146	东晋	晋	晋成帝	晋成帝.txt	司马衍
147	东晋	晋	晋康帝	晋康帝.txt	司马岳
148	东晋	晋	晋穆帝	晋穆帝.txt	司马聃
149	东晋	晋	晋哀帝	晋哀帝.txt	司马丕
150	东晋	晋	海西公	海西公.txt	司马奕
151	东晋	晋	晋简文帝	晋简文帝.txt	司马昱
152	东晋	晋	晋孝武帝	晋孝武帝.txt	司马曜
153	东晋	晋	晋安帝	晋安帝.txt	司马德宗
154	东晋	晋	晋恭帝	晋恭帝.txt	司马德文
155	十六国	汉赵	刘渊	刘渊.txt	汉赵君主
156	十六国	汉赵	刘和	刘和.txt	汉赵君主
157	十六国	汉赵	刘聪	刘聪.txt	汉赵君主
158	十六国	汉赵	刘粲	刘粲.txt	汉赵君主
159	十六国	前赵	刘曜	刘曜.txt	前赵君主
160	十六国	成汉	李雄	李雄.txt	成汉君主
161	十六国	成汉	李班	李班.txt	成汉君主
162	十六国	成汉	李期	李期.txt	成汉君主
163	十六国	成汉	李寿	李寿.txt	成汉君主
164	十六国	成汉	李势	李势.txt	成汉末主
165	十六国	后赵	石勒	石勒.txt	后赵君主
166	十六国	后赵	石弘	石弘.txt	后赵君主
167	十六国	后赵	石虎	石虎.txt	后赵君主
168	十六国	后赵	石世	石世.txt	后赵君主
169	十六国	后赵	石遵	石遵.txt	后赵君主
170	十六国	后赵	石鉴	石鉴.txt	后赵君主
171	十六国	后赵	石祗	石祗.txt	后赵君主
172	十六国	冉魏	冉闵	冉闵.txt	冉魏君主
173	十六国	前凉	张轨	张轨.txt	前凉君主
174	十六国	前凉	张寔	张寔.txt	前凉君主
175	十六国	前凉	张茂	张茂.txt	前凉君主
176	十六国	前凉	张骏	张骏.txt	前凉君主
177	十六国	前凉	张重华	张重华.txt	前凉君主
178	十六国	前凉	张曜灵	张曜灵.txt	前凉君主
179	十六国	前凉	张祚	张祚.txt	前凉君主
180	十六国	前凉	张玄靓	张玄靓.txt	前凉君主
181	十六国	前凉	张天锡	张天锡.txt	前凉君主
182	十六国	前燕	慕容皝	慕容皝.txt	前燕君主
183	十六国	前燕	慕容儁	慕容儁.txt	前燕君主
184	十六国	前燕	慕容暐	慕容暐.txt	前燕末主
185	十六国	前秦	苻健	苻健.txt	前秦君主
186	十六国	前秦	苻生	苻生.txt	前秦君主
187	十六国	前秦	苻坚	苻坚.txt	前秦君主
188	十六国	前秦	苻丕	苻丕.txt	前秦君主
189	十六国	前秦	苻登	苻登.txt	前秦君主
190	十六国	前秦	苻崇	苻崇.txt	前秦末主
191	十六国	后秦	姚苌	姚苌.txt	后秦君主
192	十六国	后秦	姚兴	姚兴.txt	后秦君主
193	十六国	后秦	姚泓	姚泓.txt	后秦末主
194	十六国	后燕	慕容垂	慕容垂.txt	后燕君主
195	十六国	后燕	慕容宝	慕容宝.txt	后燕君主
196	十六国	后燕	慕容盛	慕容盛.txt	后燕君主
197	十六国	后燕	慕容熙	慕容熙.txt	后燕君主
198	十六国	北燕	冯跋	冯跋.txt	北燕君主
199	十六国	北燕	冯弘	冯弘.txt	北燕末主
200	十六国	南燕	慕容德	慕容德.txt	南燕君主
201	十六国	南燕	慕容超	慕容超.txt	南燕末主
202	十六国	后凉	吕光	吕光.txt	后凉君主
203	十六国	后凉	吕绍	吕绍.txt	后凉君主
204	十六国	后凉	吕纂	吕纂.txt	后凉君主
205	十六国	后凉	吕隆	吕隆.txt	后凉末主
206	十六国	南凉	秃发乌孤	秃发乌孤.txt	南凉君主
207	十六国	南凉	秃发利鹿孤	秃发利鹿孤.txt	南凉君主
208	十六国	南凉	秃发傉檀	秃发傉檀.txt	南凉末主
209	十六国	北凉	段业	段业.txt	北凉君主
210	十六国	北凉	沮渠蒙逊	沮渠蒙逊.txt	北凉君主
211	十六国	北凉	沮渠牧犍	沮渠牧犍.txt	北凉末主
212	十六国	西凉	李暠	李暠.txt	西凉君主
213	十六国	西凉	李歆	李歆.txt	西凉君主
214	十六国	西凉	李恂	李恂.txt	西凉末主
215	十六国	西秦	乞伏国仁	乞伏国仁.txt	西秦君主
216	十六国	西秦	乞伏乾归	乞伏乾归.txt	西秦君主
217	十六国	西秦	乞伏炽磐	乞伏炽磐.txt	西秦君主
218	十六国	西秦	乞伏暮末	乞伏暮末.txt	西秦末主
219	十六国	夏	赫连勃勃	赫连勃勃.txt	夏国君主
220	十六国	夏	赫连昌	赫连昌.txt	夏国君主
221	十六国	夏	赫连定	赫连定.txt	夏国末主
222	南朝	刘宋	宋武帝	宋武帝.txt	刘裕
223	南朝	刘宋	宋少帝	宋少帝.txt	刘义符
224	南朝	刘宋	宋文帝	宋文帝.txt	刘义隆
225	南朝	刘宋	刘劭	刘劭.txt	短暂称帝
226	南朝	刘宋	宋孝武帝	宋孝武帝.txt	刘骏
227	南朝	刘宋	宋前废帝	宋前废帝.txt	刘子业
228	南朝	刘宋	宋明帝	宋明帝.txt	刘彧
229	南朝	刘宋	宋后废帝	宋后废帝.txt	刘昱
230	南朝	刘宋	宋顺帝	宋顺帝.txt	刘准
231	南朝	南齐	齐高帝	齐高帝.txt	萧道成
232	南朝	南齐	齐武帝	齐武帝.txt	萧赜
233	南朝	南齐	郁林王	郁林王.txt	萧昭业
234	南朝	南齐	海陵王	海陵王_南齐.txt	萧昭文
235	南朝	南齐	齐明帝	齐明帝.txt	萧鸾
236	南朝	南齐	东昏侯	东昏侯.txt	萧宝卷
237	南朝	南齐	齐和帝	齐和帝.txt	萧宝融
238	南朝	梁	梁武帝	梁武帝.txt	萧衍
239	南朝	梁	梁简文帝	梁简文帝.txt	萧纲
240	南朝	梁	梁元帝	梁元帝.txt	萧绎
241	南朝	梁	梁敬帝	梁敬帝.txt	萧方智
242	南朝	陈	陈武帝	陈武帝.txt	陈霸先
243	南朝	陈	陈文帝	陈文帝.txt	陈蒨
244	南朝	陈	陈废帝	陈废帝.txt	陈伯宗
245	南朝	陈	陈宣帝	陈宣帝.txt	陈顼
246	南朝	陈	陈后主	陈后主.txt	陈叔宝
247	北朝	北魏	道武帝	道武帝.txt	拓跋珪
248	北朝	北魏	明元帝	明元帝.txt	拓跋嗣
249	北朝	北魏	太武帝	太武帝.txt	拓跋焘
250	北朝	北魏	南安王	南安王.txt	拓跋余
251	北朝	北魏	文成帝	文成帝.txt	拓跋濬
252	北朝	北魏	献文帝	献文帝.txt	拓跋弘
253	北朝	北魏	孝文帝	孝文帝.txt	元宏
254	北朝	北魏	宣武帝	宣武帝.txt	元恪
255	北朝	北魏	孝明帝	孝明帝.txt	元诩
256	北朝	北魏	幼主元钊	幼主元钊.txt	元钊
257	北朝	北魏	孝庄帝	孝庄帝.txt	元子攸
258	北朝	北魏	长广王	长广王.txt	元晔
259	北朝	北魏	节闵帝	节闵帝.txt	元恭
260	北朝	北魏	安定王	安定王.txt	元朗
261	北朝	北魏	孝武帝	孝武帝_北魏.txt	元修
262	北朝	东魏	孝静帝	孝静帝.txt	元善见
263	北朝	西魏	文帝	文帝_西魏.txt	元宝炬
264	北朝	西魏	废帝	废帝_西魏.txt	元钦
265	北朝	西魏	恭帝	恭帝_西魏.txt	元廓
266	北朝	北齐	文宣帝	文宣帝.txt	高洋
267	北朝	北齐	废帝高殷	废帝高殷.txt	高殷
268	北朝	北齐	孝昭帝	孝昭帝.txt	高演
269	北朝	北齐	武成帝	武成帝.txt	高湛
270	北朝	北齐	后主高纬	后主高纬.txt	高纬
271	北朝	北齐	幼主高恒	幼主高恒.txt	高恒
272	北朝	北周	孝闵帝	孝闵帝.txt	宇文觉
273	北朝	北周	明帝	明帝_北周.txt	宇文毓
274	北朝	北周	武帝	武帝_北周.txt	宇文邕
275	北朝	北周	宣帝	宣帝_北周.txt	宇文赟
276	北朝	北周	静帝	静帝_北周.txt	宇文阐
277	隋	隋	隋文帝	隋文帝.txt	杨坚
278	隋	隋	隋炀帝	隋炀帝.txt	杨广
279	隋	隋	隋恭帝	隋恭帝.txt	杨侑
280	隋末	隋	皇泰主	皇泰主.txt	杨侗
281	唐	唐	唐高祖	唐高祖.txt	李渊
282	唐	唐	唐太宗	唐太宗.txt	李世民
283	唐	唐	唐高宗	唐高宗.txt	李治
284	唐	唐	唐中宗	唐中宗.txt	李显
285	唐	唐	唐睿宗	唐睿宗.txt	李旦
286	武周	周	武则天	武则天.txt	武周皇帝
287	唐	唐	唐殇帝	唐殇帝.txt	李重茂
288	唐	唐	唐玄宗	唐玄宗.txt	李隆基
289	唐	唐	唐肃宗	唐肃宗.txt	李亨
290	唐	唐	唐代宗	唐代宗.txt	李豫
291	唐	唐	唐德宗	唐德宗.txt	李适
292	唐	唐	唐顺宗	唐顺宗.txt	李诵
293	唐	唐	唐宪宗	唐宪宗.txt	李纯
294	唐	唐	唐穆宗	唐穆宗.txt	李恒
295	唐	唐	唐敬宗	唐敬宗.txt	李湛
296	唐	唐	唐文宗	唐文宗.txt	李昂
297	唐	唐	唐武宗	唐武宗.txt	李炎
298	唐	唐	唐宣宗	唐宣宗.txt	李忱
299	唐	唐	唐懿宗	唐懿宗.txt	李漼
300	唐	唐	唐僖宗	唐僖宗.txt	李儇
301	唐	唐	唐昭宗	唐昭宗.txt	李晔
302	唐	唐	唐哀帝	唐哀帝.txt	李柷
303	五代	后梁	后梁太祖	后梁太祖.txt	朱温
304	五代	后梁	朱友珪	朱友珪.txt	后梁君主
305	五代	后梁	后梁末帝	后梁末帝.txt	朱友贞
306	五代	后唐	后唐庄宗	后唐庄宗.txt	李存勖
307	五代	后唐	后唐明宗	后唐明宗.txt	李嗣源
308	五代	后唐	后唐闵帝	后唐闵帝.txt	李从厚
309	五代	后唐	后唐末帝	后唐末帝.txt	李从珂
310	五代	后晋	后晋高祖	后晋高祖.txt	石敬瑭
311	五代	后晋	后晋出帝	后晋出帝.txt	石重贵
312	五代	后汉	后汉高祖	后汉高祖.txt	刘知远
313	五代	后汉	后汉隐帝	后汉隐帝.txt	刘承祐
314	五代	后周	后周太祖	后周太祖.txt	郭威
315	五代	后周	后周世宗	后周世宗.txt	柴荣
316	五代	后周	后周恭帝	后周恭帝.txt	柴宗训
317	十国	吴	杨渥	杨渥.txt	吴国君主
318	十国	吴	杨隆演	杨隆演.txt	吴国君主
319	十国	吴	杨溥	杨溥.txt	吴国君主
320	十国	南唐	李昪	李昪.txt	南唐烈祖
321	十国	南唐	李璟	李璟.txt	南唐中主
322	十国	南唐	李煜	李煜.txt	南唐后主
323	十国	前蜀	王建	王建.txt	前蜀高祖
324	十国	前蜀	王衍	王衍.txt	前蜀后主
325	十国	后蜀	孟知祥	孟知祥.txt	后蜀高祖
326	十国	后蜀	孟昶	孟昶.txt	后蜀后主
327	十国	南汉	刘龑	刘龑.txt	南汉高祖
328	十国	南汉	刘玢	刘玢.txt	南汉君主
329	十国	南汉	刘晟	刘晟.txt	南汉中宗
330	十国	南汉	刘鋹	刘鋹.txt	南汉后主
331	十国	闽	王延翰	王延翰.txt	闽国君主
332	十国	闽	王延钧	王延钧.txt	闽国君主
333	十国	闽	王继鹏	王继鹏.txt	闽国君主
334	十国	闽	王延羲	王延羲.txt	闽国君主
335	十国	闽	王延政	王延政.txt	闽国末主
336	十国	楚	马殷	马殷.txt	楚王
337	十国	楚	马希声	马希声.txt	楚国君主
338	十国	楚	马希范	马希范.txt	楚国君主
339	十国	楚	马希广	马希广.txt	楚国君主
340	十国	楚	马希萼	马希萼.txt	楚国君主
341	十国	楚	马希崇	马希崇.txt	楚国末主
342	十国	吴越	钱镠	钱镠.txt	吴越王
343	十国	吴越	钱元瓘	钱元瓘.txt	吴越王
344	十国	吴越	钱弘佐	钱弘佐.txt	吴越王
345	十国	吴越	钱弘倧	钱弘倧.txt	吴越王
346	十国	吴越	钱弘俶	钱弘俶.txt	吴越末主
347	十国	荆南	高季兴	高季兴.txt	荆南君主
348	十国	荆南	高从诲	高从诲.txt	荆南君主
349	十国	荆南	高保融	高保融.txt	荆南君主
350	十国	荆南	高保勗	高保勗.txt	荆南君主
351	十国	荆南	高继冲	高继冲.txt	荆南末主
352	十国	北汉	刘旻	刘旻.txt	北汉世祖
353	十国	北汉	刘钧	刘钧.txt	北汉睿宗
354	十国	北汉	刘继恩	刘继恩.txt	北汉少主
355	十国	北汉	刘继元	刘继元.txt	北汉末主
356	北宋	宋	宋太祖	宋太祖.txt	赵匡胤
357	北宋	宋	宋太宗	宋太宗.txt	赵光义
358	北宋	宋	宋真宗	宋真宗.txt	赵恒
359	北宋	宋	宋仁宗	宋仁宗.txt	赵祯
360	北宋	宋	宋英宗	宋英宗.txt	赵曙
361	北宋	宋	宋神宗	宋神宗.txt	赵顼
362	北宋	宋	宋哲宗	宋哲宗.txt	赵煦
363	北宋	宋	宋徽宗	宋徽宗.txt	赵佶
364	北宋	宋	宋钦宗	宋钦宗.txt	赵桓
365	南宋	宋	宋高宗	宋高宗.txt	赵构
366	南宋	宋	宋孝宗	宋孝宗.txt	赵昚
367	南宋	宋	宋光宗	宋光宗.txt	赵惇
368	南宋	宋	宋宁宗	宋宁宗.txt	赵扩
369	南宋	宋	宋理宗	宋理宗.txt	赵昀
370	南宋	宋	宋度宗	宋度宗.txt	赵禥
371	南宋	宋	宋恭帝	宋恭帝.txt	赵显
372	南宋	宋	宋端宗	宋端宗.txt	赵昰
373	南宋	宋	宋末帝	宋末帝.txt	赵昺
374	辽	辽	辽太祖	辽太祖.txt	耶律阿保机
375	辽	辽	辽太宗	辽太宗.txt	耶律德光
376	辽	辽	辽世宗	辽世宗.txt	耶律阮
377	辽	辽	辽穆宗	辽穆宗.txt	耶律璟
378	辽	辽	辽景宗	辽景宗.txt	耶律贤
379	辽	辽	辽圣宗	辽圣宗.txt	耶律隆绪
380	辽	辽	辽兴宗	辽兴宗.txt	耶律宗真
381	辽	辽	辽道宗	辽道宗.txt	耶律洪基
382	辽	辽	辽天祚帝	辽天祚帝.txt	耶律延禧
383	西辽	西辽	耶律大石	耶律大石.txt	西辽君主
384	西辽	西辽	萧塔不烟	萧塔不烟.txt	西辽摄政
385	西辽	西辽	耶律夷列	耶律夷列.txt	西辽君主
386	西辽	西辽	耶律普速完	耶律普速完.txt	西辽君主
387	西辽	西辽	耶律直鲁古	耶律直鲁古.txt	西辽末主
388	西夏	西夏	夏景宗	夏景宗.txt	李元昊
389	西夏	西夏	夏毅宗	夏毅宗.txt	李谅祚
390	西夏	西夏	夏惠宗	夏惠宗.txt	李秉常
391	西夏	西夏	夏崇宗	夏崇宗.txt	李乾顺
392	西夏	西夏	夏仁宗	夏仁宗.txt	李仁孝
393	西夏	西夏	夏桓宗	夏桓宗.txt	李纯祐
394	西夏	西夏	夏襄宗	夏襄宗.txt	李安全
395	西夏	西夏	夏神宗	夏神宗.txt	李遵顼
396	西夏	西夏	夏献宗	夏献宗.txt	李德旺
397	西夏	西夏	夏末帝	夏末帝.txt	李睍
398	金	金	金太祖	金太祖.txt	完颜阿骨打
399	金	金	金太宗	金太宗.txt	完颜晟
400	金	金	金熙宗	金熙宗.txt	完颜亶
401	金	金	海陵王	海陵王_金.txt	完颜亮
402	金	金	金世宗	金世宗.txt	完颜雍
403	金	金	金章宗	金章宗.txt	完颜璟
404	金	金	卫绍王	卫绍王.txt	完颜永济
405	金	金	金宣宗	金宣宗.txt	完颜珣
406	金	金	金哀宗	金哀宗.txt	完颜守绪
407	金	金	金末帝	金末帝.txt	完颜承麟
408	元	蒙古帝国	成吉思汗	成吉思汗.txt	铁木真
409	元	蒙古帝国	窝阔台	窝阔台.txt	蒙古大汗
410	元	蒙古帝国	贵由	贵由.txt	蒙古大汗
411	元	蒙古帝国	蒙哥	蒙哥.txt	蒙古大汗
412	元	元	元世祖	元世祖.txt	忽必烈
413	元	元	元成宗	元成宗.txt	铁穆耳
414	元	元	元武宗	元武宗.txt	海山
415	元	元	元仁宗	元仁宗.txt	爱育黎拔力八达
416	元	元	元英宗	元英宗.txt	硕德八剌
417	元	元	泰定帝	泰定帝.txt	也孙铁木儿
418	元	元	天顺帝	天顺帝.txt	阿速吉八
419	元	元	元文宗	元文宗.txt	图帖睦尔
420	元	元	元明宗	元明宗.txt	和世㻋
421	元	元	元宁宗	元宁宗.txt	懿璘质班
422	元	元	元顺帝	元顺帝.txt	妥懽帖睦尔
423	明	明	明太祖	明太祖.txt	朱元璋
424	明	明	建文帝	建文帝.txt	朱允炆
425	明	明	明成祖	明成祖.txt	朱棣
426	明	明	明仁宗	明仁宗.txt	朱高炽
427	明	明	明宣宗	明宣宗.txt	朱瞻基
428	明	明	明英宗	明英宗.txt	朱祁镇
429	明	明	明代宗	明代宗.txt	朱祁钰
430	明	明	明宪宗	明宪宗.txt	朱见深
431	明	明	明孝宗	明孝宗.txt	朱祐樘
432	明	明	明武宗	明武宗.txt	朱厚照
433	明	明	明世宗	明世宗.txt	朱厚熜
434	明	明	明穆宗	明穆宗.txt	朱载坖
435	明	明	明神宗	明神宗.txt	朱翊钧
436	明	明	明光宗	明光宗.txt	朱常洛
437	明	明	明熹宗	明熹宗.txt	朱由校
438	明	明	明思宗	明思宗.txt	朱由检
439	南明	南明	弘光帝	弘光帝.txt	朱由崧
440	南明	南明	隆武帝	隆武帝.txt	朱聿键
441	南明	南明	绍武帝	绍武帝.txt	朱聿鐭
442	南明	南明	永历帝	永历帝.txt	朱由榔
443	南明	南明	鲁王监国	鲁王监国.txt	朱以海
444	清	后金	努尔哈赤	努尔哈赤.txt	后金天命汗
445	清	后金	皇太极	皇太极.txt	清太宗
446	清	清	顺治帝	顺治帝.txt	福临
447	清	清	康熙帝	康熙帝.txt	玄烨
448	清	清	雍正帝	雍正帝.txt	胤禛
449	清	清	乾隆帝	乾隆帝.txt	弘历
450	清	清	嘉庆帝	嘉庆帝.txt	颙琰
451	清	清	道光帝	道光帝.txt	旻宁
452	清	清	咸丰帝	咸丰帝.txt	奕詝
453	清	清	同治帝	同治帝.txt	载淳
454	清	清	光绪帝	光绪帝.txt	载湉
455	清	清	宣统帝	宣统帝.txt	溥仪
